Name,Average.coverage,Reference.length
2,87.397,342947
3,0.001,241556
4,0.330,251109
5,0.067,240349
6,68.795,241798
7,0.062,234066
8,1.547,229951
9,1.428,226900
10,0.001,188733
11,0.262,196936
12,71.117,190432
13,1.450,189250
14,67.350,187746
15,1.393,185802
16,61.844,168357
17,60.350,166108
18,79.160,164505
19,0.086,1641
20,74.564,160304
21,73.367,156813
22,80.407,154699
23,67.509,152371
24,0.304,149521
25,76.818,151688
26,66.641,148939
27,84.665,148184
28,0.075,142875
29,63.546,146875
30,0.259,141753
31,70.805,140387
32,1.210,132345
33,70.491,130755
34,0.425,128773
35,0.079,120413
36,0.071,111828
37,0.075,115743
38,0.096,115904
39,0.079,108797
40,0.023,116071
41,0.001,52030
42,66.809,111095
44,0.966,106439
45,0.084,100415
47,86.554,98440
48,0.395,92947
49,61.498,95423
50,0.059,86923
51,0.305,89784
52,1.374,91024
53,84.608,89586
54,0.385,88019
55,0.365,87236
56,0.073,80869
57,0.002,38823
58,1.062,86494
59,57.573,86411
60,81.526,85653
61,0.001,40716
62,0.073,78177
63,0.044,78150
64,59.766,78316
65,79.759,76878
66,0.366,75523
67,0.070,73328
68,0.908,72778
69,1.181,72134
70,0.026,57464
71,0.017,71125
72,0.048,60111
74,0.485,67085
75,0.348,68685
76,0.023,58221
77,1.181,68926
78,0.310,63388
80,0.079,65917
81,0.100,63124
82,0.059,59934
83,0.296,62935
84,1.533,62598
85,0.286,62004
86,0.409,61565
87,0.055,37934
88,63.807,60284
91,0.337,59236
94,0.101,53626
96,1.329,56142
97,0.091,40177
98,0.050,54331
99,0.385,54567
100,80.991,55085
101,0.037,48331
102,0.069,52300
103,0.064,51963
104,0.587,52263
105,0.028,44277
107,1.345,51696
108,54.457,52113
109,75.254,51438
110,0.074,48621
111,77.127,50731
112,0.445,50605
113,0.058,50306
115,0.335,46912
116,0.104,49053
117,0.016,37382
118,1.276,49137
119,1.414,48753
121,1.043,48467
124,87.063,47453
125,31.104,47065
126,0.037,45784
128,0.264,42548
130,0.017,27059
132,0.945,44924
133,0.039,31023
137,71.773,44154
138,0.036,33788
139,1.285,43554
140,0.002,27496
142,0.030,29781
143,0.712,618
144,0.041,38682
145,0.842,42649
147,0.111,37616
148,1.105,38988
150,83.805,41632
152,69.896,41115
153,0.471,40682
154,0.075,40377
155,52.748,40560
157,0.171,36939
158,80.203,39233
159,69.204,39193
160,0.877,38971
161,66.481,39102
164,0.292,37592
165,67.961,37593
166,63.205,37551
168,0.055,26907
170,0.391,36168
172,1.065,35573
174,0.107,28151
176,0.092,33354
177,66.308,34846
178,0.057,34565
179,1.585,34393
180,1.000,34277
183,0.034,17532
184,0.528,33062
185,0.039,23268
186,28.606,33764
187,1.424,33461
189,0.473,23004
190,0.032,25219
193,0.844,32856
195,1.009,32677
196,0.104,30118
197,0.826,32533
199,0.101,30650
201,1.103,31949
203,1.084,30666
205,0.107,30975
206,0.045,27032
207,0.078,30591
209,64.873,31474
210,81.112,31425
211,83.988,31060
212,0.071,25364
213,0.031,29915
216,0.529,30299
217,0.045,26649
218,34.365,30310
220,0.096,28348
223,0.075,24236
226,0.011,27408
228,0.990,29100
230,0.098,24515
233,0.162,16771
237,0.126,26124
239,0.995,27891
241,0.080,19973
242,0.029,10534
243,0.060,22520
244,0.103,17539
246,0.105,5735
248,0.048,24882
249,0.943,26769
252,0.083,3638
253,0.085,24679
256,30.431,26034
258,29.034,25758
261,0.052,11618
263,22.247,25461
264,0.080,19693
265,0.793,24818
267,0.940,24909
269,25.895,24787
271,0.049,23775
272,29.915,24525
273,35.034,24185
278,1.099,23563
279,0.145,22448
280,0.872,23207
281,0.091,21490
284,0.017,17215
288,26.540,23330
291,1.682,22918
292,0.903,22719
294,0.068,22068
296,0.625,20492
299,0.042,21699
300,0.863,22655
304,0.164,16599
305,0.448,21724
307,1.101,22557
308,0.886,22446
315,62.626,22272
317,0.103,2913
324,0.038,15701
326,1.281,21586
330,0.829,20627
336,0.142,18365
339,0.141,19163
344,0.948,21087
346,0.132,20480
347,0.180,20975
348,0.427,20225
351,0.881,20282
353,0.250,16278
355,0.354,20378
356,0.909,20180
360,0.063,14350
362,1.171,19536
370,0.084,18477
372,0.931,19217
375,0.112,18128
376,0.150,18948
377,0.110,19119
381,33.848,19149
382,0.244,19140
384,26.927,19037
385,1.008,18925
389,0.115,10529
390,0.058,5230
391,0.025,11601
392,0.128,7048
395,0.036,8326
397,0.096,15728
399,0.875,18457
401,0.768,17447
406,71.940,18361
410,0.024,12556
413,29.320,18056
421,0.094,15980
424,0.399,16984
427,0.887,17656
429,0.770,17508
434,0.113,17510
435,82.266,17506
436,0.852,16568
438,0.916,17104
439,31.411,17369
443,0.865,17180
446,1.145,17113
448,0.019,15789
449,0.130,13900
450,1.027,16476
451,0.063,9582
453,0.332,15373
454,0.999,16989
456,0.441,15120
458,0.060,15886
459,0.137,2195
463,1.292,16846
464,0.044,16101
465,63.523,16793
466,1.513,16688
468,31.397,16713
469,24.417,16705
472,0.965,16544
479,0.327,16232
482,0.047,12745
486,24.643,16193
487,0.961,16099
492,0.064,14223
495,0.117,12869
499,0.341,15462
510,0.049,12354
511,0.095,13812
515,1.401,15257
517,0.751,15353
520,0.509,14569
527,0.034,8772
531,0.050,12001
534,0.890,14372
535,1.656,14460
536,30.708,14872
541,0.988,14732
542,0.707,14681
546,0.057,12339
548,0.798,14320
549,1.209,14169
553,66.843,14419
555,0.395,14330
556,0.059,1002
557,0.503,14267
561,0.509,14155
565,1.662,13411
567,0.075,12112
569,0.162,6205
571,0.211,2848
581,39.213,13988
585,0.038,7842
594,0.046,13225
611,0.728,12997
