scaffold,coverage,stdev
1,13.6455,7.35239
2,0.00219276,0.0654782
3,14.8412,7.19206
4,9.7816,5.10456
5,5.28002,3.53299
6,7.19213,3.72529
7,4.67364,3.3552
8,729.598,241.461
9,669.864,191.294
10,14.3467,6.80977
11,7.95956,4.70074
12,7.00808,3.91561
13,736.912,199.197
14,7.45853,3.68892
15,655.015,171.075
16,7.55058,3.87238
17,7.68933,3.80321
18,0.000340415,0.0184472
19,13.1349,6.13225
20,0.00374289,0.0852769
21,7.28751,3.86731
22,0.00270849,0.0893803
23,0.00854493,0.123204
24,11.5848,6.01312
25,0.0039423,0.0787893
26,7.74588,4.00845
27,0.0422853,0.328091
28,5.29091,3.2995
29,7.41093,3.75709
30,8.93155,4.82099
31,7.28774,3.87624
32,591.876,213.687
33,7.21099,3.89783
34,10.5841,5.1246
35,5.33674,3.56331
36,5.32336,3.54512
37,4.89756,3.57274
38,5.40076,3.36192
39,5.19859,3.61065
40,0.677603,1.11829
41,15.2714,6.99497
42,6.88585,3.75559
43,14.3772,6.54514
44,1.5109,1.54098
45,5.37617,3.54653
46,13.5426,6.31304
47,0,0
48,10.4768,4.93824
49,7.48928,3.9126
50,5.26686,3.4409
51,11.3704,5.46805
52,645.835,195.878
53,0.0163195,0.1718
54,9.36153,4.67516
55,9.99574,5.15984
56,5.41114,3.61063
57,15.0241,6.82555
58,1.43747,1.7045
59,7.98762,3.66185
60,0,0
61,16.6698,6.70637
62,5.69791,3.70803
63,4.91149,3.44397
64,7.63077,4.09061
65,0.00569734,0.106594
66,11.5884,6.5671
67,4.81314,3.2269
68,1.32594,1.51261
69,579.703,189.533
70,0.61675,1.08568
71,0.774208,1.25412
72,5.70107,3.54609
74,11.5629,5.90339
75,9.54422,4.85936
76,0.517765,1.03315
77,601.881,204.455
78,10.1966,5.24563
79,13.5788,6.83537
80,5.56545,3.69683
81,5.50706,3.60582
82,4.89444,3.23524
83,8.82715,4.66975
84,726.994,213.687
85,10.0405,4.95152
86,10.4821,5.27803
87,0.673164,1.16029
88,8.02138,4.20056
90,13.6027,5.97333
91,9.85532,4.84867
92,13.4829,5.64161
93,12.856,6.01214
94,5.77802,3.34118
96,660.341,210.168
97,5.15326,3.40111
98,6.11869,3.25012
99,10.5562,5.85378
100,0.0109104,0.147007
101,4.7197,3.12114
102,5.19617,3.46697
103,4.71977,3.27243
104,11.5217,4.94981
105,0.84345,1.21546
107,635.979,203.733
108,8.38841,4.05515
109,0.025487,0.244524
110,5.22873,3.05776
111,0.0141925,0.146431
112,12.2275,5.73694
113,4.56428,3.05796
115,11.026,7.61155
116,5.5384,3.28097
117,0.724823,1.16045
118,649.502,197.435
119,590.17,301.014
121,1.78088,1.84014
122,13.2052,6.02429
123,16.2634,7.64615
124,0,0
125,0.603208,1.00631
126,5.72656,3.7935
128,8.72856,5.06109
130,0.521553,1.05836
132,1.24951,1.54381
133,0.794108,1.19825
137,0.0136115,0.162143
138,0.46154,0.960432
139,614.842,153.125
140,14.5567,6.70572
142,0.87261,1.19069
143,0.468746,1.05561
144,5.46968,3.74656
145,1.44414,1.69797
147,5.60755,3.47045
148,557.822,211.869
150,0,0
152,0,0
153,10.2843,5.42608
154,5.53738,3.738
155,9.22049,3.93885
157,5.05282,3.35421
158,0,0
159,0,0
160,1.47195,1.73845
161,8.06351,3.93702
164,11.4262,5.82125
165,7.83268,4.37315
166,7.178,4.06838
168,1.0725,1.50665
170,11.3222,6.56812
172,1.46294,1.56511
174,5.57166,3.61318
176,5.41735,3.25569
177,0,0
178,4.64532,3.55612
179,745.51,184.452
180,1.45242,1.41385
183,0.727902,1.08753
184,301.039,89.5901
185,0.63474,1.11852
186,0.904691,1.29317
187,624.255,236.767
189,11.4144,5.7684
190,0.426219,0.867505
193,1.58149,1.65771
195,1.76653,1.82111
196,5.33244,3.38907
197,1.43148,1.63395
199,6.13819,4.3836
201,1.58158,1.63768
203,1.39858,1.40869
204,25.141,10.2949
205,5.25935,3.58089
206,4.86711,3.4341
207,4.69497,3.40257
209,7.91495,3.80978
210,0,0
211,0,0
212,4.89054,3.67682
213,10.3573,7.26635
216,11.7338,6.12295
217,4.85071,3.12187
218,0.44157,0.976802
219,14.6646,6.47487
220,4.78554,3.73337
223,4.97864,3.10825
226,12.1412,8.37438
228,1.44408,1.72932
230,5.82882,3.80688
233,5.43359,3.65841
235,1.03329,1.29864
237,4.82041,3.25258
239,1.56678,1.5086
241,26.8286,10.8337
242,0.588905,1.03203
243,6.77959,4.32846
244,4.74868,3.64224
246,0.702895,1.17198
248,5.34537,3.28726
249,1.57313,1.96621
252,31.2005,13.7139
253,4.89455,3.31807
256,0.3177,0.719554
258,0.210226,0.611909
261,0.710079,1.06393
263,0.570205,0.970354
264,5.13144,3.52594
265,1.23994,1.43475
266,0.547936,1.0368
267,1.33883,1.53919
269,0.445354,1.03754
271,4.84759,3.49902
272,0.978389,1.7616
273,0.672979,1.2491
278,1.91131,2.06096
279,49.3404,33.8033
280,1.19439,1.61296
281,11.7264,7.36389
282,0.648659,1.15439
284,0.885935,1.15971
288,0.202708,0.623737
291,692.267,218.402
292,1.62907,1.69958
294,5.38424,3.18158
296,0.705961,1.13837
299,0.669247,1.16816
300,4.14872,6.33606
304,4.32177,2.88161
305,1.23284,1.40507
307,1.84957,1.99502
308,1.71123,1.74623
315,7.62051,3.62984
316,0.945518,1.3793
317,0.439307,0.884045
324,1.00234,1.52708
326,595.468,243.292
327,11.4066,5.51089
330,1.4741,1.88507
336,5.89548,3.55691
339,83.2744,27.7024
344,1.56452,1.66194
346,5.11781,2.92649
347,46.8691,26.231
348,9.22144,5.11363
351,1.41255,1.57799
353,5.06003,2.92586
355,0.37729,0.903253
356,1.32611,1.47684
360,0.737428,1.06256
362,596.349,195.317
370,4.1497,3.54785
372,1.5083,1.56439
375,5.70285,3.76825
376,9.93245,5.09102
377,5.51252,3.96536
381,1.51256,1.66974
382,33.6255,12.2964
384,0.496454,1.09675
385,1.29001,1.40237
389,4.38118,2.72907
390,0.558968,1.18164
391,0.794552,1.17815
392,6.51193,3.53122
395,0.701648,1.2102
397,97.633,28.9173
399,1.44231,1.56036
401,1.56183,1.66757
402,1.04614,1.39498
406,0,0
410,5.28974,6.72653
413,1.1332,1.43344
421,6.32925,3.7107
424,83.6863,60.4574
427,1.12844,1.43828
429,1.40321,1.62383
434,5.14715,3.05733
435,0,0
436,1.64844,1.68331
438,1.54125,1.78053
439,0.395129,0.730366
440,13.4705,6.7986
443,341.276,261.608
446,1.33495,1.39612
448,9.41408,6.71487
449,5.93321,3.48049
450,1.49666,1.65079
451,0.524263,0.886175
452,0.511603,0.97145
453,77.4002,19.1204
454,1.42603,1.35148
456,9.33296,5.13192
458,0.62185,1.05925
459,7.34284,3.58919
463,624.905,177.153
464,30.9368,13.2935
465,0,0
466,747.217,193.399
468,0.225274,0.626927
469,0.233583,0.624098
472,2.37003,3.36691
474,1.61622,2.08601
479,8.62568,5.54668
482,5.58843,3.7258
486,0.444945,0.920383
487,1.19941,1.35127
492,0.906695,1.19978
495,3.94469,2.96604
499,0.432864,0.796305
505,0.552117,0.949654
510,2.82903,3.0737
511,25.5064,12.8333
515,627.121,169.406
517,1.29074,1.54858
520,1.0204,1.17454
527,5.99755,3.56296
531,0.497835,1.02376
534,1.44494,1.46963
535,699.675,193.042
536,0.844069,1.09976
541,1.36492,1.42859
542,1.22758,1.57038
546,5.37068,3.15707
548,1.50929,1.42811
549,1.1975,1.54917
553,8.04702,3.53419
555,0.847034,1.28849
556,17.895,8.42488
557,0.787061,1.01081
561,1.2473,1.23161
565,875.275,196.691
567,4.88083,3.35105
569,5.28146,3.32657
571,5.43387,3.64694
577,0.915579,1.27915
581,0.508507,1.01024
585,1.25571,1.55631
594,4.73929,3.42591
599,18.3081,8.16374
611,23.15,8.73509
612,59.8269,24.306
615,4.27969,3.74727
617,0.508661,1.01289
622,8.55217,5.09612
625,1.69867,4.95253
626,0,0
629,3.59477,2.74653
630,0.179104,0.575373
632,4.89377,3.02648
635,1.29407,1.24854
636,0.899614,1.34833
641,6.17753,4.24914
642,0.686416,1.27137
643,3.68121,3.08963
655,1.49581,1.64646
657,533.014,345.945
658,47.1692,27.717
667,0.499038,0.806543
669,0.926484,1.35525
674,1.19701,1.45096
675,6.04159,3.85053
679,0.848564,1.09457
681,0.687037,1.07689
682,10.8768,6.40676
686,0.538967,0.87102
687,0.452916,0.757385
691,0.992502,1.26969
697,0.777787,1.35135
698,0.308186,0.756046
699,69.9902,24.4822
700,0.61361,1.05215
707,0.446399,1.12501
708,0.909726,1.49016
710,11.5628,6.07242
712,0.613452,0.99775
713,3.6427,3.1041
715,1.30927,1.57678
716,0.263531,0.652931
717,0.937698,1.31174
727,0.840769,1.23
731,0.792058,1.32898
732,1.23738,1.34072
734,1.06149,1.24203
739,2.23071,2.29869
742,5.40097,2.99065
744,0,0
745,12.2315,10.0022
746,1.3433,2.12703
751,1.18403,1.30062
754,10.0652,5.13275
756,1.40243,1.53092
764,0.495917,0.947574
769,5.03898,3.3994
772,0.765352,1.26683
777,1.62811,1.58437
779,0.596253,0.978138
781,0.81254,1.36919
783,0.781909,1.07049
784,1.23543,1.56014
786,2.17115,2.12006
787,469.863,147.741
788,6.75023,3.42896
