scaffold1	scaffold2	connections
4625	8730	2
3064	6952	22
12227	25	25
1318	6680	2
11937	2736	11
147	248	2
401	5420	17
1130	612	92
1130	1701	388
265	4794	5
11937	4480	8
463	7453	295
1784	635	14
1015	11936	22
1903	4480	3
14354	675	6
1209	292	44
10797	1268	44
2806	5435	12
1011	2192	18
79	9350	12
535	622	32
1318	798	38
11044	385	16
223	9326	2
1417	7384	15
2261	4129	12
12518	985	3
211	2451	54
5137	6557	35
1291	6655	18
4168	715	24
10725	5092	7
732	8467	5
1208	1208	5
3656	756	45
448	77	102
2181	7672	3
2466	3733	3
13	8	287
8040	884	8
348	3867	12
62	6826	10
2325	9707	4
102	9022	19
734	918	19
142	71	9
3150	384	12
123	440	2
1552	385	6
1273	802	9
1303	1795	19
14405	273	17
107	7263	241
12427	14608	38
40	70	28
1701	1701	2
492	908	14
12894	28	11
642	7371	24
12227	22	112
195	5805	20
195	308	45
674	9127	16
2100	6757	14
887	899	58
1448	69	198
112	83	2
11825	838	4
2505	3362	248
392	8479	19
6826	983	12
10438	8896	39
92	9350	19
1251	1999	28
2673	920	14
10963	375	9
10797	59	68
12196	132	11
2385	9974	12
1831	3331	2
5932	72	16
324	3253	19
1106	13334	28
12895	172	36
1281	2840	15
675	83	11
5304	9538	35
1898	82	5
10506	91	17
1068	5849	12
2117	3879	4
12894	2746	11
5304	8221	5
206	5246	2
12981	5296	21
2115	3943	11
1877	316	27
12227	4279	21
10699	347	48
7136	8479	6
9	988	147
448	917	45
1536	389	2
1303	716	10
3092	5493	9
2187	2689	6
1142	12042	18
4129	929	16
1557	3943	5
10438	1536	4
7933	80	15
13335	3005	17
10797	31	57
5733	7371	25
164	920	17
3150	536	2
1160	872	27
10438	50	20
14405	3707	73
10438	9212	18
12427	1496	4
111	23	13
12981	9029	5
1534	5449	16
56	6826	13
216	9186	25
1701	6884	9
26	33	4
1058	6951	17
3755	9802	2
1639	3398	2
49	64	4
1197	9212	17
1075	2834	20
48	5493	23
2226	474	20
385	751	18
153	55	6
12228	862	20
109	20	9
32	69	333
1078	1359	24
14354	24	7
1862	716	8
47	9576	23
6826	9975	18
5112	798	4
14354	4	4
128	479	17
392	9326	55
211	406	6
1206	5420	19
2304	32	203
13959	4599	7
209	59	2
3435	9099	23
2184	798	3
2658	296	27
12042	37	20
179	84	324
237	9022	26
372	8279	11
1004	7732	27
1156	5805	31
10749	158	3
1828	2817	2
14649	708	22
112	216	4
4741	6176	22
2201	830	9
11728	1280	14
184	397	4
803	815	38
2716	9267	7
12228	46	18
1641	7732	30
1639	536	2
479	85	13
1390	708	36
10079	2716	2
11175	4741	3
12486	370	19
299	57	6
1021	1021	5
3598	4455	15
2266	4455	3
375	8896	23
4279	626	2
180	2294	26
299	739	9
11650	2806	22
3368	5910	36
517	7108	24
118	281	115
1853	3952	6
2090	2716	7
3132	4599	10
1065	1065	35
14255	487	32
1604	5733	21
1535	3450	19
1627	3788	40
6391	7900	25
1903	6884	12
7955	979	52
7933	9975	11
12042	94	21
7108	746	14
1515	792	17
258	3980	19
2330	8085	17
1752	2645	28
1784	969	4
4686	802	9
11825	3879	2
4952	6637	32
10934	9127	22
5241	58	36
147	7922	5
2261	731	30
892	9029	10
