scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
177	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
429	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
144	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanomicrobia	Methanomicrobia;Methanomicrobia
42	Chloroflexi <phylum>	5	Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Caldilineae
193	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
154	Euryarchaeota	1	Euryarchaeota	Methanomicrobia	Methanomicrobia
848	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
12	Chloroflexi <phylum>	9	Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae
109	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;NA
41	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
17	Chloroflexi <phylum>	2	Chloroflexi <phylum>;NA	Anaerolineae	Anaerolineae;NA
6971	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
267	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
64	Chloroflexi <phylum>	4	Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae
69	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
15	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
14	Chloroflexi <phylum>	9	NA;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>;Chloroflexi <phylum>	Anaerolineae	NA;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae;Anaerolineae
291	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
201	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
40	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
57	Euryarchaeota	13	Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria;Methanobacteria
90	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
66	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
60	Bacteroidetes/Chlorobi group	5	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;NA;NA
1515	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
86	Euryarchaeota	3	Euryarchaeota;Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria;Methanobacteria
3119	Euryarchaeota	3	Euryarchaeota;Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria;Methanobacteria
362	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
87	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
3	Euryarchaeota	3	Euryarchaeota;Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria;Methanobacteria
13	Euryarchaeota	3	Euryarchaeota;Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria;Methanobacteria
280	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
190	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
681	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
925	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
410	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
52	Euryarchaeota	2	Euryarchaeota;Euryarchaeota	Methanobacteria	Methanobacteria;Methanobacteria
14384	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
2193	Euryarchaeota	1	Euryarchaeota	Methanobacteria	Methanobacteria
25	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;NA
