scaffold orf hmm.id
33 65 PF00162.14
2 244 PF00162.14
681 9 PF00162.14
66 41 PF00162.14
3 274 PF00162.14
1234 6 PF00162.14
217 16 PF00162.14
848 1 PF00162.14
201 19 PF00162.14
16 132 PF00276.15
53 9 PF00276.15
6998 3 PF00276.15
9 5 PF00276.15
235 13 PF00276.15
57 36 PF00276.15
104 48 PF00276.15
126 33 PF00276.15
16 122 PF00281.14
47 64 PF00281.14
3119 6 PF00281.14
104 35 PF00281.14
96 9 PF00281.14
57 48 PF00281.14
235 1 PF00281.14
126 22 PF00281.14
235 15 PF00297.17
104 50 PF00297.17
9 7 PF00297.17
9538 1 PF00297.17
57 34 PF00297.17
126 35 PF00297.17
6998 1 PF00297.17
16 134 PF00297.17
53 7 PF00297.17
16 120 PF00347.18
47 67 PF00347.18
104 33 PF00347.18
126 19 PF00347.18
57 50 PF00347.18
13504 1 PF00347.18
96 11 PF00347.18
126 26 PF00366.15
47 61 PF00366.15
235 5 PF00366.15
104 39 PF00366.15
3119 2 PF00366.15
57 44 PF00366.15
96 5 PF00366.15
16 125 PF00366.15
53 24 PF00380.14
16 105 PF00380.14
57 70 PF00380.14
96 31 PF00380.14
104 13 PF00380.14
436 11 PF00380.14
636 11 PF00380.14
243 12 PF00380.14
16 121 PF00410.14
47 66 PF00410.14
13504 2 PF00410.14
104 34 PF00410.14
96 10 PF00410.14
126 20 PF00410.14
57 49 PF00410.14
3119 7 PF00410.14
16 111 PF00411.14
126 2 PF00411.14
47 77 PF00411.14
57 66 PF00411.14
104 17 PF00411.14
636 7 PF00411.14
96 27 PF00411.14
436 15 PF00411.14
47 76 PF00416.17
16 112 PF00416.17
126 4 PF00416.17
436 17 PF00416.17
96 25 PF00416.17
636 5 PF00416.17
104 19 PF00416.17
57 64 PF00416.17
18 57 PF00466.15
261 9 PF00466.15
10 127 PF00466.15
62 44 PF00466.15
153 28 PF00466.15
887 4 PF00466.15
193 7 PF00466.15
899 4 PF00466.15
12 91 PF00466.15
53 8 PF00573.17
16 133 PF00573.17
126 34 PF00573.17
6998 2 PF00573.17
57 35 PF00573.17
235 14 PF00573.17
104 49 PF00573.17
9 6 PF00573.17
925 7 PF00750.14
599 3 PF00750.14
64 38 PF00750.14
24 104 PF00750.14
179 19 PF00750.14
28 43 PF00750.14
58 65 PF00750.14
100 7 PF00750.14
10460 2 PF00750.14
86 68 PF01025.14
1515 3 PF01025.14
98 29 PF01025.14
3 13 PF01025.14
13 124 PF01025.14
429 4 PF01025.14
33 23 PF01025.14
109 19 PF01025.14
64 18 PF01795.14
60 75 PF01795.14
86 6 PF01795.14
1058 4 PF01795.14
27 27 TIGR00001
6 153 TIGR00002
53 52 TIGR00002
27 24 TIGR00009
16 126 TIGR00012
126 28 TIGR00012
57 41 TIGR00012
6971 2 TIGR00012
235 8 TIGR00012
104 42 TIGR00012
96 2 TIGR00012
47 60 TIGR00012
27 54 TIGR00019
17 8 TIGR00019
64 39 TIGR00029
53 65 TIGR00029
49 37 TIGR00043
2 171 TIGR00043
47 80 TIGR00059
16 108 TIGR00059
16 119 TIGR00060
47 68 TIGR00060
49 78 TIGR00061
177 25 TIGR00061
49 77 TIGR00062
177 26 TIGR00062
27 21 TIGR00064
138 23 TIGR00064
139 8 TIGR00064
10 64 TIGR00064
91 48 TIGR00064
147 24 TIGR00064
14 107 TIGR00064
59 51 TIGR00082
2 131 TIGR00082
6 40 TIGR00086
2489 4 TIGR00086
2 247 TIGR00086
2 191 TIGR00092
12 29 TIGR00092
14 103 TIGR00115
25 124 TIGR00115
53 22 TIGR00116
26 8 TIGR00116
165 15 TIGR00152
152 22 TIGR00152
150 11 TIGR00158
14 159 TIGR00158
150 10 TIGR00165
14 126 TIGR00165
14 125 TIGR00166
14384 2 TIGR00166
150 9 TIGR00166
59 7 TIGR00168
27 28 TIGR00168
1631 5 TIGR00168
2 132 TIGR00234
42 59 TIGR00234
81 25 TIGR00234
1589 2 TIGR00234
548 13 TIGR00234
139 31 TIGR00234
122 32 TIGR00234
91 27 TIGR00234
54 42 TIGR00337
1 308 TIGR00337
2193 1 TIGR00337
15 9 TIGR00337
36 3 TIGR00337
59 39 TIGR00337
152 16 TIGR00337
87 55 TIGR00337
42 27 TIGR00344
47 91 TIGR00344
261 11 TIGR00344
10 130 TIGR00344
153 26 TIGR00344
193 10 TIGR00344
5 44 TIGR00344
515 1 TIGR00344
12 69 TIGR00362
4421 1 TIGR00362
27 45 TIGR00362
26 93 TIGR00388
34 116 TIGR00389
9 124 TIGR00389
44 89 TIGR00389
90 24 TIGR00389
28 83 TIGR00389
642 1 TIGR00389
2 159 TIGR00389
1877 6 TIGR00389
1476 1 TIGR00392
307 13 TIGR00392
41 41 TIGR00392
13 192 TIGR00392
112 6 TIGR00392
102 5 TIGR00392
6 95 TIGR00392
18 135 TIGR00392
26 49 TIGR00396
60 26 TIGR00396
19 26 TIGR00408
117 18 TIGR00408
30 86 TIGR00408
330 4 TIGR00408
69 52 TIGR00408
80 37 TIGR00408
59 63 TIGR00408
22 44 TIGR00408
97 31 TIGR00414
165 6 TIGR00414
159 3 TIGR00414
59 20 TIGR00418
1631 4 TIGR00418
27 29 TIGR00418
599 11 TIGR00418
1463 2 TIGR00418
179 22 TIGR00418
24 100 TIGR00418
58 68 TIGR00418
2523 3 TIGR00418
154 36 TIGR00418
25 98 TIGR00420
49 47 TIGR00420
92 42 TIGR00422
49 5 TIGR00422
280 1 TIGR00422
30 38 TIGR00422
52 65 TIGR00422
183 27 TIGR00422
23 50 TIGR00422
38 60 TIGR00422
165 9 TIGR00435
15 34 TIGR00435
190 9 TIGR00435
267 9 TIGR00435
54 30 TIGR00435
1 326 TIGR00435
50 71 TIGR00435
47 37 TIGR00435
27 117 TIGR00436
59 36 TIGR00436
18 108 TIGR00436
165 12 TIGR00436
34 71 TIGR00442
9 162 TIGR00442
40 133 TIGR00442
44 43 TIGR00442
1 40 TIGR00442
174 12 TIGR00442
22 33 TIGR00442
6 94 TIGR00442
2 197 TIGR00459
42 25 TIGR00460
47 89 TIGR00460
92 18 TIGR00468
54 81 TIGR00468
183 5 TIGR00468
291 19 TIGR00468
5 30 TIGR00468
8786 1 TIGR00468
2 10 TIGR00468
33 60 TIGR00468
410 1 TIGR00468
92 44 TIGR00471
52 66 TIGR00471
183 29 TIGR00471
30 40 TIGR00471
1669 7 TIGR00471
304 14 TIGR00471
27 20 TIGR00472
33 59 TIGR00472
22 52 TIGR00487
59 50 TIGR00487
12 3 TIGR00496
2 243 TIGR00496
14 1 TIGR00575
23 41 TIGR00575
2667 3 TIGR00631
87 33 TIGR00631
1 287 TIGR00631
472 17 TIGR00631
410 14 TIGR00631
291 6 TIGR00631
54 64 TIGR00631
59 1 TIGR00631
103 28 TIGR00631
25 89 TIGR00631
29 62 TIGR00663
23 27 TIGR00663
2 219 TIGR00810
42 65 TIGR00810
18 56 TIGR00855
12 92 TIGR00855
12 88 TIGR00922
18 60 TIGR00922
16 24 TIGR00952
53 34 TIGR00952
100 19 TIGR00959
6 152 TIGR00959
16 157 TIGR00963
27 34 TIGR00963
12 87 TIGR00964
18 61 TIGR00964
47 72 TIGR00967
57 57 TIGR00967
1427 4 TIGR00967
104 26 TIGR00967
96 18 TIGR00967
16 115 TIGR00967
126 12 TIGR00967
2174 1 TIGR00967
2 92 TIGR00981
16 142 TIGR00981
16 128 TIGR01009
53 13 TIGR01009
26 9 TIGR01011
53 23 TIGR01011
96 35 TIGR01011
57 74 TIGR01011
104 8 TIGR01011
436 7 TIGR01011
636 15 TIGR01011
47 78 TIGR01017
16 110 TIGR01017
16 118 TIGR01021
47 69 TIGR01021
109 23 TIGR01024
29 133 TIGR01024
16 141 TIGR01029
2 91 TIGR01029
159 7 TIGR01030
14 25 TIGR01030
4421 2 TIGR01030
100 51 TIGR01031
6 121 TIGR01031
27 26 TIGR01032
59 5 TIGR01032
16 129 TIGR01044
53 12 TIGR01044
16 139 TIGR01049
2 89 TIGR01049
16 130 TIGR01050
53 11 TIGR01050
144 18 TIGR01059
14 14 TIGR01059
111 23 TIGR01059
144 17 TIGR01063
33 69 TIGR01063
23 6 TIGR01063
53 25 TIGR01066
16 106 TIGR01066
47 62 TIGR01067
16 124 TIGR01067
47 71 TIGR01071
16 116 TIGR01071
47 63 TIGR01079
16 123 TIGR01079
16 127 TIGR01164
47 59 TIGR01164
18 58 TIGR01169
12 90 TIGR01169
16 131 TIGR01171
53 10 TIGR01171
60 3 TIGR01391
59 29 TIGR01391
2 214 TIGR01393
6 164 TIGR01393
18 59 TIGR01632
12 89 TIGR01632
59 49 TIGR01953
22 51 TIGR01953
60 7 TIGR02012
6 149 TIGR02012
18 55 TIGR02013
16 143 TIGR02013
47 79 TIGR02027
16 109 TIGR02027
14 129 TIGR02191
5847 2 TIGR02191
5478 3 TIGR02191
362 12 TIGR02191
5397 2 TIGR02191
76 34 TIGR02191
11 89 TIGR02191
1 258 TIGR02191
109 18 TIGR02350
98 28 TIGR02350
33 24 TIGR02350
